"ticker","index","ticker-2","snp_growth_rate","stock_growth_rate","current_price","market_correlation","correlation_with_snp","outperform","five_yr_r2","delta"
"ABSSF","0","ABSSF","-12.982895486954737","34.72409152086138","10.01","0","0.2566927871344437","1","0.6845354879246597","47.70698700781612"
"ABT","0","ABT","-12.982895486954737","4.222247999072026","89.85","1","0.6018625290768145","1","0.8859573596212023","17.205143486026763"
"ACMR","0","ACMR","-12.982895486954737","43.987086359967705","35.68","1","0.6702120541946005","1","0.5754411028918268","56.969981846922444"
"ACOPF","0","ACOPF","-12.982895486954737","21.243523316062163","11.7","0","0.1261598652315754","1","0.891727729926038","34.2264188030169"
"ADBE","0","ADBE","-12.982895486954737","1.766951786189952","343.84","1","0.8964007277863841","1","0.9468057316483709","14.749847273144688"
"ADPT","0","ADPT","-12.982895486954737","1.7672557519173182","30.52","1","0.7176866437172607","1","0.5043279310291938","14.750151238872055"
"ADTTF","0","ADTTF","-12.982895486954737","79.43925233644859","48","0","-0.29600160779114426","1","0.71913651685925","92.42214782340332"
"ADYEY","0","ADYEY","-12.982895486954737","15.811707905853956","19.19","1","0.6878596799256773","1","0.546978173099004","28.794603392808693"
"ADYYF","0","ADYYF","-12.982895486954737","18.990384615384627","990","1","0.6196182110199774","1","0.5516458595836442","31.973280102339366"
"AFNL","0","AFNL","-12.982895486954737","19.04580516141319","125.01","0","-0.4885372773836395","1","0.5603688965416573","32.02870064836792"
"AGAAF","0","AGAAF","-12.982895486954737","73.5625757152176","22.35","1","0.9010128621737767","1","0.7829569425928223","86.54547120217234"
"AGBA","0","AGBA","-12.982895486954737","0.8910891089108919","10.19","0","0.22425093472670907","1","0.6561576918557206","13.873984595865629"
"AHCHY","0","AHCHY","-12.982895486954737","1.089918256130784","37.1","0","0.26863276108088646","1","0.8636879275294979","14.072813743085522"
"AJINY","0","AJINY","-12.982895486954737","5.791044776119403","17.72","0","0.025511851330259974","1","0.7018542054804505","18.773940263074138"
"AKABY","0","AKABY","-12.982895486954737","60.41401273885349","50.37","1","0.8769613135342443","1","0.7265418118241215","73.39690822580823"
"AKAM","0","AKAM","-12.982895486954737","4.879649890590798","95.86","0","0.36001836684675637","1","0.5403296531049017","17.862545377545537"
"ALAC","0","ALAC","-12.982895486954737","2.4131274131274028","10.61","0","0.007339176440755924","1","0.9709945752504098","15.39602290008214"
"ALGR","0","ALGR","-12.982895486954737","1.564027370478982","10.39","0","-0.07533003696457975","1","0.86292615189212","14.546922857433719"
"ALLT","0","ALLT","-12.982895486954737","16.901408450704203","10.79","1","0.6800069277533826","1","0.6321674179495277","29.88430393765894"
"ALSRF","0","ALSRF","-12.982895486954737","11.307420494699638","15.75","1","0.7983825200310004","1","0.6848313449103142","24.290315981654373"
"AMD","0","AMD","-12.982895486954737","4.2860129625758026","49.88","1","0.5433186895452794","1","0.8392322658391681","17.26890844953054"
"AMED","0","AMED","-12.982895486954737","6.983646627480655","183.83","0","0.41588277203461727","1","0.8288603462740114","19.96654211443539"
"AMFPF","0","AMFPF","-12.982895486954737","125.41382667964945","23.15","1","0.7692788188792887","1","0.608711220733034","138.39672216660418"
"AMSWA","0","AMSWA","-12.982895486954737","5.503978779840857","15.91","1","0.6319054247209467","1","0.6297546105162607","18.486874266795596"
"AMT","0","AMT","-12.982895486954737","3.8028543568832562","234.2","1","0.5890126268574354","1","0.8933468384044766","16.785749843837994"
"AMZN","0","AMZN","-12.982895486954737","20.828554363969822","2286.04","0","0.08679305296384889","1","0.9126536516329221","33.81144985092456"
"ANET","0","ANET","-12.982895486954737","0.318871388539943","207.64","1","0.8191554648556875","1","0.6769657586786332","13.30176687549468"
